model_arch,train_set,eval_set,auc,accuracy,precision,recall,f1
lvnet,Diffusion,Diffusion,0.9991,0.9842,0.977,0.9917,0.9843
mesoinception4_cbam,Diffusion,Diffusion,0.9935,0.9527,0.9702,0.9341,0.9518
mesoinception4,Diffusion,Diffusion,0.9926,0.947,0.9494,0.9442,0.9468
xception_pretrained,FF++,FF++,0.9747,0.9179,0.9457,0.8866,0.9152
Resnet18,FF++,FF++,0.9578,0.8861,0.8643,0.916,0.8894
vit_b16,FF++,FF++,0.9428,0.8688,0.8918,0.8393,0.8648
lvnet,FF++,FF++,0.896,0.8217,0.831,0.8105,0.8206
mesoinception4_cbam,FF++,FF++,0.81,0.7183,0.7043,0.7527,0.7277
mesoinception4,FF++,FF++,0.7621,0.6933,0.7104,0.6527,0.6803
MesoXceptionNet,FF++,FF++,0.7195,0.6473,0.6315,0.7071,0.6672
vit_b16,FF++,CelebDFv2,0.6438,0.4044,0.8369,0.1151,0.2023
MesoXceptionCBAM,FF++,FF++,0.6322,0.5941,0.5813,0.6732,0.6239
mesonet4,Diffusion,Diffusion,0.6199,0.5171,0.5101,0.8725,0.6438
mesonet4,FF++,FF++,0.6063,0.602,0.584,0.63,0.6061
vit_b16,FF++,Diffusion,0.585,0.5422,0.6032,0.2468,0.3503
mesoinception4,FF++,CelebDFv2,0.5677,0.5208,0.7107,0.4552,0.555
xception_pretrained,FF++,CelebDFv2,0.5663,0.4201,0.7361,0.1815,0.2912
xception_pretrained,FF++,Diffusion,0.5017,0.4807,0.4666,0.2695,0.3416
mesoinception4_cbam,Diffusion,FF++,0.4945,0.4964,0.25,0.0036,0.007
mesoinception4_cbam,FF++,CelebDFv2,0.4813,0.4886,0.6454,0.4902,0.5572
mesoinception4,Diffusion,FF++,0.4792,0.4987,0.4348,0.0089,0.0175
mesoinception4_cbam,FF++,Diffusion,0.4731,0.4721,0.4466,0.233,0.3062
mesoinception4,FF++,Diffusion,0.4556,0.497,0.4937,0.2333,0.3168
